what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1390814849598
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390814852675
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1390814855904
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1390814856420
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390814857836
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1390814861265
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1390814861752
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390814865421
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1390814868694
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1390814869203
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390814872744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814883647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814902574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814907306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814921056
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390814921178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390814921214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814923619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814933253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390814935636
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1390814947095
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1390814947104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390814951040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390814966579
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1390814966652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814967488
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390814977157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814977262
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390814987877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390814994908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390814995716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815003157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815003186
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390815014992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815015082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815041137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815053895
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815054013
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815054054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815059077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815096870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390815098697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815142417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815146525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815148656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815160144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390815168888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815178597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815182222
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1390815183782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390815185542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815189402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815194491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390815198683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815215206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815220350
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.indent",1390815225157
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.indent",1390815234039
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.indent",1390815246342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390815256139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815258824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815259549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815259576
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390815275189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815275320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815275337
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390815289872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815317221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815333606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815333620
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390815337249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815340460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815349311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815375081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815438630
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815438778
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390815438815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390815455901
