what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392369388118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392369390554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392369392117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392369392886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392369450536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392369452389
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.indent",1392369458621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392369512572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392369655068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392369746499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392369924333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392370484342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392370525875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392370527623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1392370538702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1392370540591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392370561562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392370610516
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392370613942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392370616033
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1392370616095
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392370633355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392370762094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392370876771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392370923801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392371190452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392371586394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392371656237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392371884777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392722306085
