what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"macosx",1392885782211
arch,sysinfo,,,"x86",1392885782211
ws,sysinfo,,,"cocoa",1392885782211
locale,sysinfo,,,"sv_SE",1392885782211
processors,sysinfo,,,"8",1392885782211
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392885782211
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1392885782211
java.specification.name,sysinfo,,,"Java Platform API Specification",1392885782211
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392885782211
java.specification.version,sysinfo,,,"1.6",1392885782211
java.vendor,sysinfo,,,"Apple Inc.",1392885782211
java.version,sysinfo,,,"1.6.0_65",1392885782211
java.vm.info,sysinfo,,,"mixed mode",1392885782211
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392885782211
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392885782211
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392885782211
java.vm.specification.version,sysinfo,,,"1.0",1392885782211
java.vm.vendor,sysinfo,,,"Apple Inc.",1392885782211
java.vm.version,sysinfo,,,"20.65-b04-462",1392885782211
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392885804606
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1392885810786
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1392885811329
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392885811449
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392885811512
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1392885812161
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1392885812165
