what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393232881967
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393232889924
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393232910405
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393232910652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1393232924804
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393232978706
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393232978963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1393233023488
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233026019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233028437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233028467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233030319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1393233030359
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233030370
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233030393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233049807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233051886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233053343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233074762
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233077768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1393233081406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233081858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233153466
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233154954
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233155241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1393233161697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233162059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233277598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1393233281428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233282217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233371984
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233373789
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233374084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233374124
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233375882
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1393233378287
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1393233378793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233407376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233410278
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233417635
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233422159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1393233456727
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233477431
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1393233481264
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1393233481748
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393233486025
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393233493452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393233544937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393328838621
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393328840536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393328850810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393328864727
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393328864740
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393328866709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393328869914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393328885752
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393328885838
